IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
6,fd00:2:fd00:1:fd00:1:fd00:1,42282,2606:4700:4700::1111,853,-1,Desconocido,unknown,TCP,Inalcanzable,,84,60,1,1,2026-06-13T11:58:33.136-05:00,2026-06-13T11:58:33.140-05:00
6,fd00:2:fd00:1:fd00:1:fd00:1,42282,2606:4700:4700::1111,853,-1,Desconocido,unknown,TCP,Inalcanzable,,80,60,1,1,2026-06-13T11:58:33.152-05:00,2026-06-13T11:58:33.158-05:00
17,10.215.173.1,47404,10.215.173.2,53,10147,Servicios de Google Play,com.google.android.gms,DNS,Inalcanzable,mtalk.google.com,0,0,0,0,2026-06-13T11:58:33.193-05:00,2026-06-13T11:58:33.193-05:00
17,10.215.173.1,15310,10.215.173.2,53,10147,Servicios de Google Play,com.google.android.gms,DNS,Inalcanzable,mtalk.google.com,0,0,0,0,2026-06-13T11:58:33.197-05:00,2026-06-13T11:58:33.197-05:00
6,fd00:2:fd00:1:fd00:1:fd00:1,42282,2606:4700:4700::1111,853,-1,Desconocido,unknown,TCP,Inalcanzable,,80,60,1,1,2026-06-13T11:58:35.171-05:00,2026-06-13T11:58:35.173-05:00
17,fd00:2:fd00:1:fd00:1:fd00:1,17676,2606:4700:4700::1111,53,10147,Servicios de Google Play,com.google.android.gms,DNS,Inalcanzable,mtalk.google.com,0,0,0,0,2026-06-13T11:58:38.196-05:00,2026-06-13T11:58:38.196-05:00
17,fd00:2:fd00:1:fd00:1:fd00:1,5066,2606:4700:4700::1111,53,10147,Servicios de Google Play,com.google.android.gms,DNS,Inalcanzable,mtalk.google.com,0,0,0,0,2026-06-13T11:58:38.200-05:00,2026-06-13T11:58:38.200-05:00
6,fd00:2:fd00:1:fd00:1:fd00:1,42282,2606:4700:4700::1111,853,-1,Desconocido,unknown,TLS,Cerrado,,1212,4682,12,13,2026-06-13T11:58:39.300-05:00,2026-06-13T11:58:39.458-05:00
17,fd00:2:fd00:1:fd00:1:fd00:1,46950,2606:4700:4700::1111,53,-1,Desconocido,unknown,DNS,Cerrado,y4lkjh-dnsotls-ds.metric.gstatic.com,102,130,1,1,2026-06-13T11:58:39.413-05:00,2026-06-13T11:58:39.443-05:00
6,fd00:2:fd00:1:fd00:1:fd00:1,55696,2606:4700:4700::1111,853,-1,Desconocido,unknown,TLS,Error,,6264,17073,43,43,2026-06-13T11:58:39.694-05:00,2026-06-13T11:59:04.798-05:00
